timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.52,1024.93,31.2,27356.37,11522,8286,42144,21866,57330,44593,57330,48915,55122,31347,807,887
1000,33.52,1024.93,31.22,26764.7,13034,8792,42353,21274,57330,44210,57330,49787,57330,33857,725,889
2000,33.52,1024.93,31.22,26084.4,15998,9783,43785,21831,57330,44105,57330,50101,57330,36471,576,827
3000,33.52,1024.93,31.25,25499.48,16563,9659,45754,23156,57330,44175,57330,49647,57330,38179,505,789
4000,33.52,1024.93,31.26,25059.06,17156,9862,49394,24968,57330,44698,57330,49926,57330,39225,569,812
5000,33.52,1024.93,31.28,24984.66,19430,10548,54406,27478,57330,44489,57330,49891,57330,40236,683,864
6001,33.52,1024.93,31.29,25391.76,20809,10931,57330,29535,57330,44245,57330,50066,57330,40759,1747,1206
7001,33.53,1024.93,31.29,25514.95,19196,10424,57330,32044,57330,43443,57330,49647,57330,40968,1473,1243
8001,33.53,1024.92,31.29,25133.91,18672,10346,57330,34589,57330,42083,57330,50205,57330,40654,1104,1218
9001,33.53,1024.92,31.29,24278.24,19154,10638,57330,36715,57330,41700,57330,50693,57330,38563,2872,1799
