timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.46,32.93,11708.37,3907,4262,1897,3068,2700,2868,5244,4452,3515,3064,3466,4863
1000,32.46,32.92,11773.96,3915,4322,1863,3041,2842,2948,5197,4507,3645,3173,3505,4868
2000,32.46,32.92,11807.03,3898,4297,1846,2999,2968,3013,5174,4608,3655,3223,3532,4944
3000,32.47,32.91,11813.67,3873,4332,1806,2974,3078,3045,5163,4593,3706,3269,3542,4929
4000,32.47,32.91,11800.4,3917,4312,1771,2921,3245,3213,5128,4623,3691,3324,3547,4914
5001,32.47,32.91,11747.64,3905,4267,1754,2911,3377,3404,5180,4593,3795,3249,3539,4914
6001,32.47,32.91,11721.43,3902,4247,1725,2877,3554,3590,5296,4673,3799,3314,3593,4994
7001,32.47,32.93,11622.67,3920,4297,1704,2833,3679,3675,5418,4648,3839,3364,3623,4974
8001,32.47,32.91,11622.67,3912,4242,1690,2870,3817,3840,5458,4703,3905,3344,3640,5004
9001,32.47,32.92,11622.67,3829,4287,1649,2796,3907,3931,5562,4778,3905,3329,3677,5059
