timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.93,1024.85,33.49,27285.4,10757,9783,16770,13666,11134,10312,22766,12496,46410,27443,27508,15422
1000,32.93,1024.87,33.54,26662.94,13448,11145,18176,14094,10896,10132,16853,10413,44113,26502,25895,14972
2000,32.94,1024.86,33.57,26165.5,18010,12800,18989,14443,9257,8826,9489,6910,42054,25561,29464,16143
3000,32.94,1024.85,33.63,25780.72,22118,14229,18741,14533,5800,6674,7474,6268,41159,24864,38146,19775
4000,32.94,1024.85,33.68,25514.95,24241,14961,17431,14128,3883,5651,9512,7104,45844,27618,43576,21622
5000,32.95,1024.84,33.7,25561.45,24117,14983,15350,13520,2523,4628,11018,8184,51960,30441,46500,22982
6001,32.95,1024.83,33.74,25859.95,16853,12394,12703,12574,2067,4302,14206,9783,56674,32951,46828,23226
7001,32.95,1024.83,33.74,26428.47,11030,10154,10989,11753,2867,4984,20519,11685,57330,34868,47484,23818
8001,32.95,1024.85,33.73,27232.42,10572,10019,9350,10492,3961,5721,23717,12845,57330,36193,48260,23923
9001,32.96,1024.85,33.68,28030.7,11719,11055,8058,9546,4825,6328,24944,13171,57330,36541,48499,24550
