timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.58,32.6,11507.89,6993,7005,2678,5209,4062,5224,4386,5430,2727,3354,2352,4618
1000,32.58,32.6,11661.44,6871,6985,2592,5104,4199,5345,4199,5290,2693,3299,2374,4678
2000,32.58,32.6,11887.17,6836,6955,2563,5109,4312,5450,4109,5169,2636,3173,2327,4728
3000,32.58,32.6,11988.88,6784,6854,2572,5114,4405,5490,3939,5079,2585,3193,2342,4673
4000,32.58,32.6,12134.23,6622,6884,2587,5069,4472,5691,3819,4924,2511,3223,2344,4673
5000,32.58,32.62,12268.82,6622,6925,2541,5134,4494,5731,3753,4828,2477,3133,2339,4718
6001,32.58,32.61,12283.16,6443,6920,2538,5024,4585,5726,3664,4904,2398,3055,2281,4668
7001,32.59,32.61,12348.11,6304,6854,2590,5074,4607,5881,3583,4773,2295,3048,2273,4603
8001,32.59,32.6,12326.38,6072,6734,2661,5019,4675,5881,3475,4663,2271,3020,2241,4598
9001,32.58,32.6,12283.16,5974,6734,2658,5034,4678,6002,3488,4638,2204,3018,2276,4643
