timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.59,32.56,14544.19,4771,6353,3618,5696,4597,6132,2585,3976,1979,2879,2207,4638
1000,32.59,32.54,14604.83,4705,6298,3738,5816,4597,6187,2455,3885,1973,2891,2204,4653
2000,32.59,32.56,14604.83,4663,6253,3768,5766,4526,6137,2381,3820,1955,2891,2222,4683
3000,32.59,32.56,14474.07,4621,6248,3853,5937,4504,6117,2180,3695,1955,2847,2192,4658
4000,32.59,32.56,14287.12,4548,6202,3949,6002,4472,6042,2094,3605,1966,2858,2227,4653
5001,32.59,32.56,14095.49,4501,6117,4042,6087,4450,6042,2051,3519,1972,2900,2254,4678
6001,32.59,32.56,13890.54,4467,6072,4106,6167,4405,5962,2041,3459,1982,2854,2249,4733
7001,32.59,32.57,13918.13,4415,6077,4204,6177,4391,6082,1991,3429,1967,2877,2246,4733
8001,32.59,32.58,13936.59,4317,6007,4261,6288,4388,6007,1960,3389,1975,2879,2234,4683
9001,32.59,32.57,14067.18,4263,5972,4364,6368,4371,6012,1975,3394,2008,2861,2231,4638
