timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.03,1012.71,38.62,15718.99,2445,2930,2046,4643,23827,19740,38862,24411,51930,35356,8956,9220
1000,33.04,1012.7,38.61,16279.06,1270,2387,2332,5124,17914,15501,43934,27304,57330,38981,10016,9850
2000,33.04,1012.7,38.57,16907.68,767,2039,2852,5410,16260,15152,45933,27827,57330,40097,12621,11302
3000,33.04,1012.7,38.52,18101.81,479,1686,3174,5550,20753,17056,42890,26537,57330,39643,18520,13160
4000,33.04,1012.7,38.41,19568.12,400,1349,4729,6478,26515,23051,41935,25387,57330,37796,21319,14184
5000,33.04,1012.7,38.3,20523.57,400,1272,9373,8736,33581,27304,43755,26537,56942,37831,22366,14465
6001,33.04,1012.7,38.2,21228.4,400,1212,11157,9783,39160,29570,46589,28071,55659,37273,26322,15861
7001,33.04,1012.69,38.14,22052.57,400,1117,11030,9411,42323,31417,48230,28559,54168,37273,30150,17718
8001,33.04,1012.69,38.05,23094.59,400,969,10028,8736,44053,31870,48946,29744,54108,36820,31702,18938
9001,33.04,1012.69,37.97,24404.98,400,767,8788,7577,43755,31766,49752,29709,54168,37064,28376,17160
