timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.97,33.58,138717.5,400,92,406,59,400,26,400,36,400,45,400,55
1000,31.97,33.58,139176.82,400,83,400,59,400,25,400,29,400,41,400,55
2000,31.97,33.58,138488.97,400,92,403,61,400,27,400,36,400,37,400,55
3000,31.97,33.58,138374.99,400,88,400,62,400,23,400,33,400,40,400,57
4000,31.97,33.58,139755.28,400,95,404,56,400,24,400,28,400,33,400,56
5000,31.97,33.57,138603.14,400,92,400,61,400,22,400,26,400,36,400,55
6001,31.97,33.55,140104.67,400,94,400,58,400,17,400,32,400,36,400,60
7001,31.97,33.56,139176.82,400,90,403,65,400,22,400,22,400,36,400,56
8001,31.97,33.55,139871.55,401,93,400,61,400,20,400,24,400,34,400,62
9001,31.97,33.55,140573.24,400,98,400,59,400,22,400,17,400,36,400,60
