timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.4,33.09,13817.48,2251,2752,2202,2978,1661,1792,2415,2279,3510,2900,3669,4853
1000,32.4,33.09,13817.48,2266,2736,2200,2997,1710,1875,2411,2258,3466,2909,3677,4758
2000,32.4,33.08,13736.2,2342,2791,2246,3031,1759,1944,2396,2274,3500,2877,3647,4678
3000,32.4,33.07,13745.19,2406,2796,2315,3038,1807,2016,2406,2295,3522,2953,3687,4768
4000,32.4,33.08,13799.33,2386,2796,2327,3008,1859,2053,2415,2334,3532,2905,3691,4818
5000,32.4,33.07,13799.33,2514,2798,2334,3027,1876,2127,2379,2337,3529,2944,3723,4758
6001,32.4,33.07,13890.54,2622,2814,2391,3059,1899,2173,2398,2344,3544,2930,3691,4728
7001,32.4,33.08,13918.13,2673,2828,2391,3059,1937,2200,2435,2339,3596,2958,3657,4798
8001,32.41,33.07,14038.99,2749,2886,2428,3057,1953,2265,2396,2394,3591,2974,3711,4793
9001,32.41,33.07,14104.95,2835,2928,2467,3038,1972,2300,2374,2392,3564,2941,3667,4768
