timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.5,31.97,129927.08,400,107,400,89,400,19,400,10,400,61,400,129
1000,32.5,31.98,130837.08,400,106,400,97,400,17,400,10,400,64,400,124
2000,32.5,31.97,130735.34,400,104,400,91,400,19,400,13,400,62,400,131
3000,32.5,31.97,130938.97,400,107,400,100,400,20,400,8,400,63,400,129
4000,32.5,31.96,130938.97,400,103,400,95,400,13,400,11,400,58,400,130
5000,32.51,31.96,131553.71,400,105,400,101,400,17,400,14,400,62,400,127
6001,32.51,31.96,130532.33,400,104,400,98,400,10,400,6,400,63,400,128
7001,32.51,31.95,130735.34,400,107,400,103,400,17,400,2,400,61,400,130
8001,32.51,31.95,131759.9,400,103,400,96,400,14,400,5,400,63,400,126
9001,32.51,31.93,130329.96,400,100,400,93,400,9,400,5,400,66,400,127
