timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.88,33.15,124907.63,400,93,400,90,400,47,400,35,400,56,400,89
1000,31.89,33.15,124722.31,400,96,400,85,400,42,400,33,400,50,400,89
2000,31.89,33.15,124261.4,400,92,400,88,400,42,400,32,400,50,400,90
3000,31.89,33.15,124261.4,400,95,400,87,400,40,400,30,400,49,400,87
4000,31.89,33.14,124537.54,400,92,400,86,400,42,400,36,400,55,400,86
5000,31.89,33.15,124353.31,400,97,400,96,400,47,400,46,400,52,400,93
6001,31.9,33.13,124169.63,400,90,400,90,400,44,400,41,400,56,400,89
7001,31.9,33.15,124537.54,400,89,400,88,400,44,400,39,400,57,400,92
8001,31.9,33.13,124722.31,400,92,400,89,400,44,400,36,400,60,400,86
9001,31.9,33.12,124169.63,400,91,400,92,400,46,400,43,400,53,400,86
