timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,36.24,1011.51,30.91,33077.01,2096,1043,1674,947,507,208,400,192,400,285,485,316
1000,36.24,1011.52,30.92,33740.13,2123,1033,1665,930,510,201,400,193,400,283,471,303
2000,36.23,1011.52,30.91,33985.41,2143,1013,1690,962,500,201,400,196,400,266,461,294
3000,36.23,1011.52,30.91,33903.26,2101,1049,1690,948,509,206,400,196,400,261,447,282
4000,36.23,1011.52,30.93,34067.97,2119,1049,1693,956,505,203,400,193,400,253,445,279
5000,36.23,1011.53,30.95,33821.5,2131,1051,1688,954,513,202,400,194,400,249,444,271
6001,36.23,1011.53,30.95,33025.09,2143,1060,1680,955,517,200,400,194,400,250,435,266
7001,36.23,1011.53,30.97,32414.46,2084,1069,1697,938,525,201,400,197,400,244,427,265
8001,36.23,1011.54,30.99,31421.95,2066,1048,1708,962,517,210,400,199,400,241,429,262
9001,36.23,1011.51,31.0,30444.29,2054,1064,1699,954,526,202,400,203,400,243,425,253
